severity,finding,surface,player_id,name,position,field,ours,published,note
1,snap percentage omits published snap weeks,draft-board,258,Nate Adkins,TE,snap_pct,31.0,33.0,Endpoint aggregate has 6 weekly snap values; published snap source has 9.
1,snap percentage omits published snap weeks,draft-board,376,Maurice Alexander,WR,snap_pct,null,2.0,Endpoint aggregate has 0 weekly snap values; published snap source has 1.
1,snap percentage omits published snap weeks,draft-board,406,Rasheen Ali,RB,snap_pct,24.0,13.0,Endpoint aggregate has 8 weekly snap values; published snap source has 15.
1,snap percentage omits published snap weeks,draft-board,408,Mo Alie-Cox,TE,snap_pct,40.0,39.0,Endpoint aggregate has 11 weekly snap values; published snap source has 17.
1,snap percentage omits published snap weeks,draft-board,441,Davis Allen,TE,snap_pct,52.0,50.0,Endpoint aggregate has 15 weekly snap values; published snap source has 17.
1,snap percentage omits published snap weeks,draft-board,469,Josh Allen,QB,snap_pct,98.0,92.0,Endpoint aggregate has 16 weekly snap values; published snap source has 17.
1,snap percentage omits published snap weeks,draft-board,475,Kyle Allen,QB,snap_pct,10.0,8.0,Endpoint aggregate has 2 weekly snap values; published snap source has 3.
1,snap percentage omits published snap weeks,draft-board,881,Tutu Atwell,WR,snap_pct,32.0,28.0,Endpoint aggregate has 8 weekly snap values; published snap source has 10.
1,snap percentage omits published snap weeks,draft-board,910,Kevin Austin Jr.,WR,snap_pct,66.0,44.0,Endpoint aggregate has 5 weekly snap values; published snap source has 8.
1,snap percentage omits published snap weeks,draft-board,987,Tyler Badie,RB,snap_pct,19.0,18.0,Endpoint aggregate has 14 weekly snap values; published snap source has 16.
1,snap percentage omits published snap weeks,draft-board,988,Tyson Bagent,QB,snap_pct,8.0,7.0,Endpoint aggregate has 2 weekly snap values; published snap source has 3.
1,snap percentage omits published snap weeks,draft-board,1147,Michael Bandy,WR,snap_pct,8.0,6.0,Endpoint aggregate has 3 weekly snap values; published snap source has 4.
1,snap percentage omits published snap weeks,draft-board,1395,Brenden Bates,TE,snap_pct,39.0,27.0,Endpoint aggregate has 4 weekly snap values; published snap source has 9.
1,snap percentage omits published snap weeks,draft-board,1401,John Bates,TE,snap_pct,55.0,51.0,Endpoint aggregate has 9 weekly snap values; published snap source has 15.
1,snap percentage omits published snap weeks,draft-board,1519,Jack Bech,WR,snap_pct,51.0,40.0,Endpoint aggregate has 12 weekly snap values; published snap source has 16.
1,snap percentage omits published snap weeks,draft-board,1521,Andrew Beck,FB,snap_pct,13.0,11.0,Endpoint aggregate has 7 weekly snap values; published snap source has 17.
1,snap percentage omits published snap weeks,draft-board,1633,Ronnie Bell,WR,snap_pct,53.0,29.0,Endpoint aggregate has 1 weekly snap values; published snap source has 2.
1,snap percentage omits published snap weeks,draft-board,1651,Daniel Bellinger,TE,snap_pct,53.0,50.0,Endpoint aggregate has 12 weekly snap values; published snap source has 16.
1,snap percentage omits published snap weeks,draft-board,1791,Braxton Berrios,WR,snap_pct,38.0,19.0,Endpoint aggregate has 2 weekly snap values; published snap source has 4.
1,snap percentage omits published snap weeks,draft-board,1869,Tank Bigsby,RB,snap_pct,19.0,13.0,Endpoint aggregate has 11 weekly snap values; published snap source has 17.
1,snap percentage omits published snap weeks,draft-board,1980,Chris Blair,WR,snap_pct,null,5.0,Endpoint aggregate has 0 weekly snap values; published snap source has 3.
1,snap percentage omits published snap weeks,draft-board,2075,Jake Bobo,WR,snap_pct,18.0,17.0,Endpoint aggregate has 2 weekly snap values; published snap source has 11.
1,snap percentage omits published snap weeks,draft-board,2264,Kendrick Bourne,WR,snap_pct,62.0,57.0,Endpoint aggregate has 14 weekly snap values; published snap source has 16.
1,snap percentage omits published snap weeks,draft-board,2551,Teddy Bridgewater,QB,snap_pct,15.0,12.0,Endpoint aggregate has 3 weekly snap values; published snap source has 4.
1,snap percentage omits published snap weeks,draft-board,2654,British Brooks,RB,snap_pct,19.0,7.0,Endpoint aggregate has 3 weekly snap values; published snap source has 15.
1,snap percentage omits published snap weeks,draft-board,2658,Chris Brooks,RB,snap_pct,23.0,20.0,Endpoint aggregate has 14 weekly snap values; published snap source has 17.
